Company,Address1,City,State,Postcode,Phone,Email,Full Address,Latitude,Longitude
Halal N Easy,2 Motto Dr,Coolaroo,VIC,3048,,,"2 Motto Dr, Coolaroo, VIC 3048, Australia",-37.643699,144.9313648
IGA Caroline Springs,"1-7, Caroline Springs",Caroline Springs,VIC,3023,,,"1-7, Caroline Springs, Caroline Springs, VIC 3023, Australia",-37.753309,144.7390452
IGA Express O'Marche,"Shop 1, 18 Rakaia Way",Docklands,VIC,3008,,,"Shop 1, 18 Rakaia Way, Docklands, VIC 3008, Australia",-37.8146747,144.9410892
Foodworks Werribee,92 /94 Cottrell Street,Werribee,VIC,3030,,,"92 /94 Cottrell Street, Werribee, VIC 3030, Australia",-37.9024607,144.6516173
Thomastown Super IGA,122 Main St,Thomastown,VIC,3074,,,"122 Main St, Thomastown, VIC 3074, Australia",-37.6774832,144.9991801
Foodworks Bacchus Marsh,1-9 Bennett St,Bacchus Marsh,VIC,3340,,,"1-9 Bennett St, Bacchus Marsh, VIC 3340, Australia",-37.6741353,144.4373344
Strahmore IGA,1 Lloyd St,Strathmore,VIC,3041,,,"1 Lloyd St , Strathmore, VIC 3041, Australia",-37.7362772,144.9185387
Foodworks Buninyong,310-312 Learmonth St,Buninyong,VIC,3357,,,"310-312 Learmonth St, Buninyong, VIC 3357, Australia",-37.6502023,143.8853318
Next Level Fitness,1535 Centre Rd,Clayton,VIC,3168,,,"1535 Centre Rd , Clayton, VIC 3168, Australia",-37.9300836,145.1345926
Friendly Grocer North Melbourne,547 Queensberry Street,North Melbourne,VIC,3051,,,"547 Queensberry Street, North Melbourne, VIC 3051, Australia",-37.8031948,144.9490456
Foodworks Budding Street,"Shop 11,1 Budding Street",Diggers Rest,VIC,3427,,,"Shop 11,1 Budding Street, Diggers Rest, VIC 3427, Australia",-37.6194374,144.7031205
Foodworks On Melba,16 Melba Avenue,Sunbury,VIC,3429,,,"16 Melba Avenue, Sunbury, VIC 3429, Australia",-37.5740767,144.705703
Foodworks Hillside,595 Melton Hwy,Hillside,VIC,3037,,,"595 Melton Hwy , Hillside, VIC 3037, Australia",-37.6938688,144.7544632
Anytime Fitness Watergardens,399 Melton Hwy,Taylors Lakes,VIC,3038,,,"399 Melton Hwy , Taylors Lakes, VIC 3038, Australia",-37.6976059,144.7798834
Form Fitness And Lifestyle,112 Grove Road,Grovedale,VIC,3216,,,"112 Grove Road, Grovedale, VIC 3216, Australia",-38.1943762,144.3472423
IGA Trevancore,50 Mt Alexander Rd,Travancore,VIC,3032,,,"50 Mt Alexander Rd, Travancore, VIC 3032, Australia",-37.7848173,144.9387294
Good Foods,2 Harrington Square,Altona,VIC,3018,,,"2 Harrington Square, Altona, VIC 3018, Australia",-37.8645775,144.8140935
Foodworks Keilor East,55 Dinah Parade,Keilor East,VIC,3033,,,"55 Dinah Parade, Keilor East, VIC 3033, Australia",-37.744596,144.8667187
The Performance Club,18 Macaulay Street,Williamstown North,VIC,3016,,,"18 Macaulay Street , Williamstown North, VIC 3016, Australia",-37.849723,144.865158
Heavy Set Gym,503/122-130 Beresford Rd,Lilydale,VIC,3140,,,"503/122-130 Beresford Rd, Lilydale, VIC 3140, Australia",-37.752456,145.3496976
KDP Fitness,24/39 Eucumbene Drive Ravenhall,Caroline Springs,VIC,3023,,,"24/39 Eucumbene Drive Ravenhall, Caroline Springs, VIC 3023, Australia",-37.7600822,144.7452695
Sunshine Fitness,355 Palmers Rd,Truganina,VIC,3029,,,"355 Palmers Rd, Truganina, VIC 3029, Australia",-37.8232656,144.748559
Athletes Performance HQ,87/150 Palmers Road,Truganina,VIC,3029,,,"87/150 Palmers Road, Truganina, VIC 3029, Australia",-37.8426905,144.7483848
Trolley Convenience Store,Shop 88B/ 90 Lorimer Street,Docklands,VIC,3008,,,"Shop 88B/ 90 Lorimer Street, Docklands, VIC 3008, Australia",-37.8245935,144.9434826
The Staff Shop (Crown),Shop 66/ 8 Whiteman Street,Southbank,VIC,3006,,,"Shop 66/ 8 Whiteman Street, Southbank, VIC 3006, Australia",-37.8226358,144.9587708
Melbourne Muscle Gym,379 Bayswater Road,Bayswater North,VIC,3153,,,"379 Bayswater Road, Bayswater North, VIC 3153, Australia",-37.8360499,145.2719802
D2E Gym,6 Raydon Court,Delacombe,VIC,3356,,,"6 Raydon Court, Delacombe, VIC 3356, Australia",-37.5799897,143.8252463
Powerhouse Gym South Morang,Showroom 5 & 6 20 Murdoch Rd,South Morang,VIC,3752,,,"Showroom 5 & 6 20 Murdoch Rd, South Morang, VIC 3752, Australia",-37.6503313,145.0875891
Shape It Fitness,33 Griffith St,Maddingley,VIC,3340,,,"33 Griffith St, Maddingley, VIC 3340, Australia",-37.6871926,144.4237472
Powerhouse Bayswater,5/193 Canterbury Rd,Bayswater North,VIC,3153,,,"5/193 Canterbury Rd, Bayswater North, VIC 3153, Australia",-37.8286567,145.2812514
Powercore Fitness,302 Hume Highway,Craigieburn,VIC,3064,,,"302 Hume Highway, Craigieburn, VIC 3064, Australia",-37.6166545,144.9481491
Hammerhouse Coburg,98 Gaffney Street,Coburg North,VIC,3058,,,"98 Gaffney Street, Coburg North, VIC 3058, Australia",-37.7331441,144.9579064
Bodytek Fitness,151A Anderson Road,Sunshine,VIC,3020,,,"151A Anderson Road, Sunshine, VIC 3020, Australia",-37.7804596,144.8276029
Ironhub Supps,49 Rainier Crescent,Clyde North,VIC,3978,,,"49 Rainier Crescent, Clyde North, VIC 3978, Australia",-38.0936869,145.3377667
PWR Nutrition,"223 Bridge Road,",Cobblebank,VIC,3338,,,"223 Bridge Road,, Cobblebank, VIC 3338, Australia",-37.7150145,144.5951454
Supa Fresh Grocer,A1/1042 Western Hwy,Caroline Springs,VIC,3023,,,"A1/1042 Western Hwy, Caroline Springs, VIC 3023, Australia",-37.7588165,144.7481121
Micks Gym,65 Reserve Road,Melton,VIC,3337,,,"65 Reserve Road, Melton, VIC 3337, Australia",-37.68788,144.5877096
The Fitness Factory,45-49 Main South Road,Drouin,VIC,3818,,,"45-49 Main South Road, Drouin, VIC 3818, Australia",-38.14094205,145.8551491
Foodworks Yarragon,86 Princes Highway,Yarragon,VIC,3823,,,"86 Princes Highway, Yarragon, VIC 3823, Australia",-38.20423405,146.0759418
Hyper Health Sports Nutrition,Shop 2 108 Franklin Street,Traralgon,VIC,3844,,,"Shop 2 108 Franklin Street, Traralgon, VIC 3844, Australia",-38.19502498,146.5380388
Area365 Health and Fitness,Level 1 46-58 George Street,Morwell,VIC,3840,,,"Level 1 46-58 George Street, Morwell, VIC 3840, Australia",-38.23797161,146.3964646
Nemesis Strength,13A Callister Street,Shepparton,VIC,3630,,,"13A Callister Street, Shepparton, VIC 3630, Australia",-36.38476438,145.4155271
Country Grocer Mt Beauty,4-16A Kiewa Cres,Mt Beauty,VIC,3699,,,"4-16A Kiewa Cres, Mt Beauty, VIC 3699, Australia",-36.74243884,147.1698202
Country Grocers Yackandandah,15A High Street ,Yackandandah,VIC,3749,,,"15A High Street , Yackandandah, VIC 3749, Australia",-36.31240365,146.8397785
Country Grocer Falls Creek,Bogong High Plains Rd,Falls Creek,VIC,3699,,,"Bogong High Plains Rd, Falls Creek, VIC 3699, Australia",-36.83688361,147.2851639
Kini Chen Gym,Ground Floor 5 Queens Road,Melbourne,VIC,3004,,,"Ground Floor 5 Queens Road, Melbourne, VIC 3004, Australia",-37.83665084,144.9739776
East Oakleigh Food and Liquor,188 Huntingdale Road,Oakleigh East,VIC,3166,,,"188 Huntingdale Road, Oakleigh East, VIC 3166, Australia",-37.89912308,145.1058229
Clean Eats Australia,266-268 Maribyrnong Rd,Moonee Ponds,VIC,3039,,,"266-268 Maribyrnong Rd, Moonee Ponds VIC 3039",-37.77000277,144.904856
